district,wind_speed_avg_h80,wind_speed_avg_h100,wind_speed_avg_h120
Athos,4.1178341975890635,4.258930032870464,4.401635473267592
Attica,5.514292421668554,5.691749310727953,5.858378314825375
Central Greece,5.059722788475085,5.133135730622107,5.288878261693024
Central Macedonia,4.315854801686104,4.596295255752719,4.731258648614091
Crete,6.325453980116173,6.449605739756649,6.62857697404527
East Macedonia and Thrace,4.655811331643274,4.723170200903464,4.864136767678048
Epirus,4.044853200666601,4.16384142342554,4.298345642215305
Ionian Islands,4.314340431348428,4.3486764363127834,4.463899409548227
North Aegean,6.59195115966583,6.559164659475687,6.738508918909484
Peloponnese,4.476444924150831,4.580021615709526,4.714207047412088
South Aegean,8.418284951250529,8.632809418156356,8.866551920497399
Thessaly,3.8449886277242777,4.036370516950695,4.15733975003364
West Greece,3.831171246233289,3.7635256973467577,3.872383623828521
West Macedonia,3.7920871374960563,3.8247246877015875,3.9400876507343074
